,schedule_season,schedule_month,schedule_week,Total_Score,over_under_line,Week_Day,Dome_Game,Over_Total_Score_Line,Number_States
109,2012,10,8,52.0,42.5,6,1,1,1
110,2012,10,8,39.0,45.5,6,0,0,1
111,2012,10,8,42.0,42.5,6,0,0,1
112,2012,10,8,39.0,39.0,6,0,0,1
113,2012,10,8,47.0,43.0,6,0,1,1
114,2012,10,8,39.0,44.0,6,0,0,1
115,2012,10,8,52.0,46.0,6,0,1,1
116,2012,10,8,32.0,47.0,6,0,0,1
117,2012,10,8,27.0,38.5,0,1,0,1
118,2012,11,9,44.0,41.0,3,0,1,1
119,2012,11,9,32.0,47.5,6,1,0,1
120,2012,11,9,54.0,47.5,6,0,1,1
121,2012,11,9,40.0,44.0,6,0,0,1
122,2012,11,9,48.0,43.5,6,0,1,1
123,2012,11,9,30.0,48.0,6,1,0,1
124,2012,11,9,43.0,43.5,6,1,0,1
125,2012,11,9,45.0,44.0,6,0,1,1
126,2012,11,9,44.0,47.5,6,0,0,1
127,2012,11,9,74.0,47.5,6,0,1,1
128,2012,11,9,50.0,38.5,6,0,1,1
129,2012,11,9,71.0,43.5,6,0,1,1
130,2012,11,9,34.0,48.5,6,0,0,1
131,2012,11,9,41.0,52.0,0,1,0,1
132,2012,11,10,37.0,43.5,3,0,0,1
133,2012,11,10,75.0,47.5,6,0,1,1
134,2012,11,10,50.0,47.0,6,0,1,1
135,2012,11,10,19.0,40.0,6,0,0,1
136,2012,11,10,44.0,47.5,6,0,0,1
137,2012,11,10,40.0,44.0,6,0,0,1
138,2012,11,10,58.0,45.5,6,1,1,1
139,2012,11,10,68.0,54.0,6,0,1,1
140,2012,11,10,58.0,54.0,6,1,1,1
141,2012,11,10,61.0,44.5,6,0,1,1
142,2012,11,10,48.0,38.0,6,0,1,1
143,2012,11,10,35.0,38.5,6,0,0,1
144,2012,11,10,58.0,47.0,6,0,1,1
145,2012,11,10,29.0,40.0,0,0,0,1
146,2012,11,11,33.0,46.0,3,0,0,1
147,2012,11,11,42.0,44.0,6,1,0,1
148,2012,11,11,48.0,47.0,6,0,1,1
149,2012,11,11,43.0,43.5,6,0,0,1
150,2012,11,11,53.0,48.0,6,0,1,1
151,2012,11,11,44.0,53.5,6,1,0,1
152,2012,11,11,80.0,40.5,6,1,1,1
153,2012,11,11,34.0,42.5,6,0,0,1
154,2012,11,11,83.0,55.0,6,0,1,1
155,2012,11,11,55.0,56.0,6,0,0,1
156,2012,11,11,23.0,40.5,6,0,0,1
157,2012,11,11,40.0,38.5,6,1,1,1
158,2012,11,11,37.0,46.0,6,0,0,1
159,2012,11,11,39.0,35.0,0,0,1,1
160,2012,11,12,69.0,47.5,3,0,1,1
161,2012,11,12,65.0,49.0,3,1,1,1
162,2012,11,12,68.0,48.5,3,0,1,1
163,2012,11,12,48.0,36.5,6,1,1,1
164,2012,11,12,38.0,39.0,6,0,0,1
165,2012,11,12,44.0,51.0,6,0,0,1
166,2012,11,12,34.0,33.5,6,0,1,1
167,2012,11,12,33.0,51.5,6,1,0,1
168,2012,11,12,43.0,45.0,6,0,0,1
169,2012,11,12,26.0,42.5,6,0,0,1
170,2012,11,12,45.0,38.0,6,0,1,1
171,2012,11,12,52.0,50.0,6,1,1,1
172,2012,11,12,48.0,51.5,6,0,0,1
173,2012,11,12,29.0,47.0,6,0,0,1
174,2012,11,12,47.0,51.5,6,0,0,1
175,2012,11,12,52.0,42.0,0,0,1,1
176,2012,11,13,36.0,55.0,3,1,0,1
177,2012,12,13,43.0,36.5,6,0,1,1
178,2012,12,13,52.0,42.0,6,0,1,1
179,2012,12,13,40.0,37.0,6,0,1,1
180,2012,12,13,71.0,44.0,6,0,1,1
181,2012,12,13,54.0,50.0,6,0,1,1
182,2012,12,13,68.0,51.0,6,1,1,1
183,2012,12,13,37.0,47.0,6,0,0,1
184,2012,12,13,48.0,41.0,6,0,1,1
185,2012,12,13,39.0,51.5,6,0,0,1
186,2012,12,13,13.0,36.5,6,0,0,1
187,2012,12,13,37.0,39.5,6,0,0,1
188,2012,12,13,33.0,46.0,6,0,0,1
189,2012,12,13,29.0,41.0,6,1,0,1
190,2012,12,13,34.0,47.0,6,0,0,1
191,2012,12,13,33.0,50.0,0,0,0,1
192,2012,12,14,39.0,47.0,3,0,0,1
193,2012,12,14,27.0,42.5,6,0,0,1
194,2012,12,14,50.0,47.0,6,0,1,1
195,2012,12,14,39.0,46.0,6,0,0,1
196,2012,12,14,37.0,38.0,6,0,0,1
197,2012,12,14,47.0,49.0,6,0,0,1
198,2012,12,14,50.0,47.0,6,1,1,1
199,2012,12,14,27.0,39.0,6,0,0,1
200,2012,12,14,35.0,40.5,6,1,0,1
201,2012,12,14,79.0,51.5,6,0,1,1
202,2012,12,14,58.0,38.0,6,0,1,1
203,2012,12,14,40.0,38.5,6,0,1,1
204,2012,12,14,58.0,36.0,6,0,1,1
205,2012,12,14,44.0,48.0,6,0,0,1
206,2012,12,14,59.0,48.0,6,0,1,1
207,2012,12,14,56.0,51.0,0,0,1,1
208,2012,12,15,47.0,45.0,3,0,1,1
209,2012,12,15,48.0,43.5,6,1,1,1
210,2012,12,15,34.0,50.0,6,1,0,1
211,2012,12,15,51.0,48.0,6,0,1,1
212,2012,12,15,67.0,44.0,6,1,1,1
213,2012,12,15,34.0,43.5,6,0,0,1
214,2012,12,15,59.0,40.5,6,0,1,1
215,2012,12,15,51.0,46.0,6,0,1,1
216,2012,12,15,46.0,48.0,6,1,0,1
217,2012,12,15,27.0,38.0,6,0,0,1
218,2012,12,15,75.0,47.5,6,0,1,1
219,2012,12,15,41.0,55.0,6,1,0,1
220,2012,12,15,15.0,44.0,6,0,0,1
221,2012,12,15,38.0,45.5,6,0,0,1
222,2012,12,15,58.0,39.5,6,1,1,1
223,2012,12,15,24.0,42.0,0,0,0,1
224,2012,12,16,49.0,50.5,5,1,0,1
225,2012,12,16,41.0,36.5,6,1,1,1
226,2012,12,16,47.0,47.0,6,0,0,1
227,2012,12,16,23.0,47.0,6,0,0,1
228,2012,12,16,65.0,54.5,6,0,1,1
229,2012,12,16,46.0,44.0,6,0,1,1
230,2012,12,16,62.0,44.5,6,0,1,1
231,2012,12,16,29.0,43.5,6,1,0,1
232,2012,12,16,39.0,51.0,6,0,0,1
233,2012,12,16,33.0,41.5,6,0,0,1
234,2012,12,16,34.0,43.0,6,0,0,1
235,2012,12,16,44.0,38.0,6,0,1,1
236,2012,12,16,47.0,46.0,6,0,1,1
237,2012,12,16,23.0,40.0,6,0,0,1
238,2012,12,16,55.0,40.5,6,0,1,1
239,2012,12,16,41.0,44.0,6,0,0,1
240,2012,12,17,39.0,46.0,6,1,0,1
241,2012,12,17,37.0,41.0,6,0,0,1
242,2012,12,17,40.0,42.5,6,0,0,1
243,2012,12,17,41.0,41.5,6,0,0,1
244,2012,12,17,50.0,46.0,6,1,1,1
245,2012,12,17,44.0,47.0,6,1,0,1
246,2012,12,17,71.0,46.0,6,1,1,1
247,2012,12,17,28.0,46.5,6,0,0,1
248,2012,12,17,82.0,54.0,6,1,1,1
249,2012,12,17,49.0,44.5,6,0,1,1
250,2012,12,17,34.0,36.0,6,0,0,1
251,2012,12,17,45.0,41.5,6,0,1,1
252,2012,12,17,40.0,39.5,6,0,1,1
253,2012,12,17,33.0,42.5,6,0,0,1
254,2012,12,17,58.0,42.0,6,0,1,1
255,2012,12,17,46.0,49.0,6,0,0,1
256,2013,9,1,76.0,49.5,3,0,1,1
257,2013,9,1,44.0,51.5,6,0,0,1
258,2013,9,1,19.0,45.0,6,0,0,1
259,2013,9,1,45.0,42.0,6,0,1,1
260,2013,9,1,33.0,40.5,6,0,0,1
261,2013,9,1,67.0,50.0,6,1,1,1
262,2013,9,1,58.0,47.5,6,1,1,1
263,2013,9,1,38.0,45.5,6,1,0,1
264,2013,9,1,30.0,43.0,6,0,0,1
265,2013,9,1,40.0,56.0,6,1,0,1
266,2013,9,1,35.0,39.0,6,0,0,1
267,2013,9,1,25.0,42.0,6,0,0,1
268,2013,9,1,62.0,48.5,6,0,1,1
269,2013,9,1,51.0,41.5,6,1,1,1
270,2013,9,1,59.0,45.5,0,0,1,1
271,2013,9,1,60.0,53.5,0,0,1,1
272,2013,9,2,23.0,43.5,3,0,0,1
273,2013,9,2,46.0,48.5,6,1,0,1
274,2013,9,2,55.0,47.5,6,1,1,1
275,2013,9,2,20.0,44.0,6,0,0,1
276,2013,9,2,47.0,43.5,6,0,1,1
277,2013,9,2,61.0,42.0,6,0,1,1
278,2013,9,2,58.0,50.0,6,0,1,1
279,2013,9,2,54.0,43.0,6,1,1,1
280,2013,9,2,44.0,44.0,6,1,0,1
281,2013,9,2,33.0,46.0,6,0,0,1
282,2013,9,2,64.0,55.5,6,0,1,1
283,2013,9,2,28.0,40.0,6,0,0,1
284,2013,9,2,63.0,54.0,6,0,1,1
285,2013,9,2,32.0,44.5,6,0,0,1
286,2013,9,2,30.0,48.5,6,0,0,1
287,2013,9,2,30.0,41.0,0,0,0,1
288,2013,9,3,42.0,51.0,3,0,0,1
289,2013,9,3,39.0,44.5,6,0,0,1
290,2013,9,3,38.0,47.0,6,0,0,1
291,2013,9,3,64.0,50.5,6,0,1,1
292,2013,9,3,38.0,47.0,6,1,0,1
293,2013,9,3,50.0,46.0,6,0,1,1
